label,x,y
2,59,6
2,52,9
2,63,9
2,69,10
2,22,11
2,30,11
2,45,11
2,54,11
2,74,11
2,37,12
2,29,13
2,36,13
2,38,13
2,44,13
2,45,13
2,89,13
2,106,13
2,115,13
2,118,13
2,43,14
2,66,14
2,73,14
2,125,14
2,28,15
2,36,15
2,40,15
2,63,15
2,121,15
2,128,16
2,132,16
2,139,16
2,38,17
2,66,17
2,74,17
2,77,17
2,90,17
2,114,17
2,127,17
2,138,17
2,38,18
2,47,18
2,48,18
2,58,18
2,95,18
2,99,18
2,102,18
2,111,18
2,119,18
2,127,18
2,128,18
2,137,18
2,27,19
2,38,19
2,43,19
2,47,19
2,69,19
2,70,19
2,71,19
2,72,19
2,110,19
2,154,19
2,160,19
2,31,20
2,33,20
2,37,20
2,39,20
2,42,20
2,54,20
2,62,20
2,64,20
2,66,20
2,92,20
2,104,20
2,122,20
2,145,20
2,149,20
2,38,21
2,39,21
2,41,21
2,50,21
2,54,21
2,56,21
2,62,21
2,63,21
2,119,21
2,123,21
2,126,21
2,128,21
2,137,21
2,140,21
2,154,21
2,167,21
2,17,22
2,30,22
2,34,22
2,40,22
2,46,22
2,60,22
2,71,22
2,72,22
2,74,22
2,78,22
2,95,22
2,103,22
2,116,22
2,124,22
2,125,22
2,134,22
2,135,22
2,136,22
2,137,22
2,146,22
2,10,23
2,30,23
2,34,23
2,35,23
2,36,23
2,39,23
2,41,23
2,43,23
2,44,23
2,46,23
2,47,23
2,50,23
2,55,23
2,57,23
2,61,23
2,71,23
2,78,23
2,82,23
2,83,23
2,102,23
2,103,23
2,105,23
2,108,23
2,116,23
2,118,23
2,120,23
2,125,23
2,135,23
2,137,23
2,152,23
2,159,23
2,23,24
2,27,24
2,34,24
2,40,24
2,41,24
2,44,24
2,52,24
2,61,24
2,67,24
2,68,24
2,81,24
2,93,24
2,121,24
2,128,24
2,129,24
2,137,24
2,147,24
2,148,24
2,161,24
2,30,25
2,35,25
2,36,25
2,37,25
2,38,25
2,42,25
2,43,25
2,51,25
2,58,25
2,62,25
2,70,25
2,75,25
2,102,25
2,104,25
2,108,25
2,116,25
2,118,25
2,120,25
2,127,25
2,129,25
2,132,25
2,135,25
2,137,25
2,143,25
2,145,25
2,146,25
2,162,25
2,18,26
2,23,26
2,26,26
2,32,26
2,35,26
2,36,26
2,37,26
2,44,26
2,46,26
2,50,26
2,51,26
2,56,26
2,61,26
2,62,26
2,63,26
2,64,26
2,68,26
2,70,26
2,71,26
2,87,26
2,98,26
2,101,26
2,104,26
2,117,26
2,124,26
2,129,26
2,133,26
2,135,26
2,136,26
2,137,26
2,138,26
2,141,26
2,143,26
2,148,26
2,149,26
2,153,26
2,158,26
2,159,26
2,23,27
2,26,27
2,39,27
2,41,27
2,42,27
2,46,27
2,48,27
2,49,27
2,64,27
2,66,27
2,93,27
2,95,27
2,98,27
2,101,27
2,109,27
2,113,27
2,124,27
2,126,27
2,129,27
2,131,27
2,134,27
2,135,27
2,140,27
2,141,27
2,144,27
2,152,27
2,153,27
2,20,28
2,25,28
2,33,28
2,34,28
2,35,28
2,37,28
2,38,28
2,42,28
2,47,28
2,50,28
2,58,28
2,59,28
2,64,28
2,65,28
2,66,28
2,67,28
2,75,28
2,78,28
2,90,28
2,93,28
2,97,28
2,98,28
2,102,28
2,118,28
2,120,28
2,126,28
2,127,28
2,128,28
2,133,28
2,136,28
2,139,28
2,140,28
2,144,28
2,29,29
2,35,29
2,36,29
2,39,29
2,40,29
2,44,29
2,47,29
2,51,29
2,61,29
2,63,29
2,65,29
2,70,29
2,71,29
2,75,29
2,77,29
2,79,29
2,95,29
2,108,29
2,109,29
2,110,29
2,112,29
2,122,29
2,123,29
2,124,29
2,126,29
2,130,29
2,132,29
2,134,29
2,135,29
2,139,29
2,142,29
2,145,29
2,146,29
2,148,29
2,149,29
2,158,29
2,159,29
2,25,30
2,26,30
2,29,30
2,30,30
2,39,30
2,41,30
2,47,30
2,48,30
2,65,30
2,71,30
2,78,30
2,89,30
2,96,30
2,98,30
2,104,30
2,108,30
2,109,30
2,111,30
2,124,30
2,125,30
2,126,30
2,132,30
2,136,30
2,137,30
2,139,30
2,140,30
2,141,30
2,142,30
2,144,30
2,148,30
2,150,30
2,151,30
2,156,30
2,167,30
2,16,31
2,21,31
2,22,31
2,24,31
2,27,31
2,31,31
2,33,31
2,39,31
2,44,31
2,48,31
2,54,31
2,58,31
2,60,31
2,63,31
2,66,31
2,70,31
2,75,31
2,77,31
2,92,31
2,93,31
2,94,31
2,95,31
2,98,31
2,101,31
2,111,31
2,113,31
2,120,31
2,124,31
2,126,31
2,127,31
2,130,31
2,132,31
2,136,31
2,139,31
2,141,31
2,142,31
2,143,31
2,145,31
2,149,31
2,151,31
2,152,31
2,153,31
2,154,31
2,167,31
2,18,32
2,19,32
2,20,32
2,21,32
2,22,32
2,25,32
2,26,32
2,29,32
2,34,32
2,36,32
2,38,32
2,40,32
2,42,32
2,47,32
2,58,32
2,65,32
2,67,32
2,73,32
2,78,32
2,79,32
2,92,32
2,93,32
2,96,32
2,100,32
2,106,32
2,117,32
2,121,32
2,129,32
2,130,32
2,132,32
2,133,32
2,135,32
2,136,32
2,137,32
2,138,32
2,140,32
2,145,32
2,148,32
2,149,32
2,151,32
2,153,32
2,161,32
2,163,32
2,25,33
2,28,33
2,30,33
2,31,33
2,32,33
2,33,33
2,36,33
2,46,33
2,58,33
2,59,33
2,64,33
2,66,33
2,67,33
2,68,33
2,81,33
2,93,33
2,99,33
2,101,33
2,104,33
2,105,33
2,121,33
2,123,33
2,126,33
2,131,33
2,135,33
2,136,33
2,138,33
2,141,33
2,142,33
2,150,33
2,151,33
2,152,33
2,155,33
2,161,33
2,20,34
2,21,34
2,28,34
2,30,34
2,34,34
2,35,34
2,36,34
2,37,34
2,38,34
2,39,34
2,41,34
2,42,34
2,51,34
2,60,34
2,65,34
2,67,34
2,68,34
2,69,34
2,71,34
2,79,34
2,80,34
2,81,34
2,82,34
2,87,34
2,88,34
2,89,34
2,90,34
2,97,34
2,99,34
2,108,34
2,109,34
2,111,34
2,113,34
2,116,34
2,117,34
2,122,34
2,124,34
2,128,34
2,129,34
2,130,34
2,132,34
2,138,34
2,139,34
2,140,34
2,145,34
2,146,34
2,151,34
2,153,34
2,162,34
2,21,35
2,27,35
2,31,35
2,38,35
2,42,35
2,43,35
2,54,35
2,71,35
2,76,35
2,77,35
2,78,35
2,79,35
2,83,35
2,88,35
2,101,35
2,105,35
2,109,35
2,111,35
2,117,35
2,118,35
2,121,35
2,124,35
2,125,35
2,126,35
2,127,35
2,130,35
2,132,35
2,137,35
2,139,35
2,144,35
2,145,35
2,146,35
2,151,35
2,153,35
2,156,35
2,160,35
2,161,35
2,162,35
2,167,35
2,11,36
2,22,36
2,24,36
2,26,36
2,29,36
2,32,36
2,33,36
2,35,36
2,37,36
2,38,36
2,43,36
2,44,36
2,55,36
2,58,36
2,61,36
2,63,36
2,69,36
2,71,36
2,74,36
2,80,36
2,87,36
2,90,36
2,91,36
2,92,36
2,96,36
2,100,36
2,105,36
2,108,36
2,113,36
2,116,36
2,120,36
2,123,36
2,125,36
2,128,36
2,130,36
2,131,36
2,132,36
2,133,36
2,137,36
2,138,36
2,141,36
2,142,36
2,146,36
2,150,36
2,157,36
2,179,36
2,10,37
2,26,37
2,32,37
2,33,37
2,34,37
2,35,37
2,38,37
2,43,37
2,44,37
2,53,37
2,56,37
2,63,37
2,64,37
2,68,37
2,69,37
2,72,37
2,75,37
2,77,37
2,79,37
2,87,37
2,89,37
2,94,37
2,96,37
2,99,37
2,102,37
2,110,37
2,115,37
2,119,37
2,121,37
2,131,37
2,132,37
2,133,37
2,141,37
2,143,37
2,145,37
2,146,37
2,152,37
2,157,37
2,159,37
2,162,37
2,167,37
2,7,38
2,13,38
2,16,38
2,19,38
2,20,38
2,31,38
2,39,38
2,57,38
2,60,38
2,65,38
2,66,38
2,70,38
2,72,38
2,73,38
2,75,38
2,78,38
2,83,38
2,95,38
2,96,38
2,100,38
2,101,38
2,103,38
2,106,38
2,112,38
2,113,38
2,116,38
2,118,38
2,122,38
2,124,38
2,125,38
2,126,38
2,128,38
2,130,38
2,131,38
2,132,38
2,133,38
2,135,38
2,136,38
2,140,38
2,141,38
2,143,38
2,144,38
2,145,38
2,147,38
2,149,38
2,152,38
2,153,38
